
run: 72, trials: 30, success_rate : 0.5333333333333333
run: 73, trials: 30, success_rate : 0.6666666666666666
run: 74, trials: 30, success_rate : 0.5666666666666667
run: 75, trials: 30, success_rate : 0.7
run: 76, trials: 30, success_rate : 0.7666666666666667
run: 77, trials: 30, success_rate : 0.6666666666666666
run: 78, trials: 30, success_rate : 0.7333333333333333
run: 79, trials: 30, success_rate : 0.7666666666666667
run: 80, trials: 30, success_rate : 0.6
run: 81, trials: 30, success_rate : 0.6666666666666666
run: 82, trials: 30, success_rate : 0.6333333333333333
run: 83, trials: 30, success_rate : 0.5666666666666667
run: 84, trials: 30, success_rate : 0.6666666666666666
run: 85, trials: 30, success_rate : 0.6666666666666666
run: 86, trials: 30, success_rate : 0.7
run: 87, trials: 30, success_rate : 0.6333333333333333
run: 88, trials: 30, success_rate : 0.7666666666666667
run: 89, trials: 30, success_rate : 0.7333333333333333
run: 90, trials: 30, success_rate : 0.43333333333333335
run: 91, trials: 30, success_rate : 0.6
run: 92, trials: 30, success_rate : 0.6333333333333333
run: 93, trials: 30, success_rate : 0.7333333333333333
run: 94, trials: 30, success_rate : 0.6333333333333333
run: 95, trials: 30, success_rate : 0.7
run: 96, trials: 30, success_rate : 0.7333333333333333
run: 97, trials: 30, success_rate : 0.8
run: 98, trials: 30, success_rate : 0.6666666666666666
run: 99, trials: 30, success_rate : 0.5
run: 100, trials: 30, success_rate : 0.43333333333333335
run: 1, trials: 100, success_rate : 0.66
run: 2, trials: 100, success_rate : 0.62
run: 3, trials: 100, success_rate : 0.66
run: 4, trials: 100, success_rate : 0.59
run: 5, trials: 100, success_rate : 0.63
run: 6, trials: 100, success_rate : 0.65
run: 7, trials: 100, success_rate : 0.64
run: 8, trials: 100, success_rate : 0.67
run: 9, trials: 100, success_rate : 0.66
run: 10, trials: 100, success_rate : 0.63
run: 11, trials: 100, success_rate : 0.64
run: 12, trials: 100, success_rate : 0.67
run: 13, trials: 100, success_rate : 0.63
run: 14, trials: 100, success_rate : 0.58
run: 15, trials: 100, success_rate : 0.75
run: 16, trials: 100, success_rate : 0.66
run: 17, trials: 100, success_rate : 0.66
run: 18, trials: 100, success_rate : 0.62
run: 19, trials: 100, success_rate : 0.64
run: 20, trials: 100, success_rate : 0.52
run: 21, trials: 100, success_rate : 0.67
run: 22, trials: 100, success_rate : 0.65
run: 23, trials: 100, success_rate : 0.61
run: 24, trials: 100, success_rate : 0.75
run: 25, trials: 100, success_rate : 0.65
run: 26, trials: 100, success_rate : 0.62
run: 27, trials: 100, success_rate : 0.69
run: 28, trials: 100, success_rate : 0.66
run: 29, trials: 100, success_rate : 0.66
run: 30, trials: 100, success_rate : 0.63
